question_id;question;question_variant;original_model_id;name;organization_id;category
q037;Is there any parallelism in this model? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);Does this model contain any parallel gateways? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;general
q038;Is there any cyclic behaviour in this model? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);Does this model exhibit any cyclic behavior? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;general
q039;Which model has a task named 'modification to natural environment'?;Which model includes a task called 'modification to ntaural environment'?;5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;model-specific
q040;In this model, how many tasks are between 'Request a land alteration permit' and 'Grant license'? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);How many tasks lie between 'Request a land atleration permit' and 'Grant license' in this model? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;model-specific
q041;In this model, will the choreography always reach an end node? (Model ID: 4e8df28e6d9f4afe970d06522542e830);Will every execution path in this model eventually terminate at an end event? (Model ID: 4e8df28e6d9f4afe970d06522542e830);4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;general
q042;How many end events are in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);What is the number of end events in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;general
q043;How many sequence flows are in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);What is the total count of sequence flows in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;general
q044;Which model has a message called 'Suchanfrage'?;In which model is there a message named 'Suchafnrage'?;4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;model-specific
q045;In this model, is the 'Buch in Warenkorb' task always reachable from the start node? (Model ID: 4e8df28e6d9f4afe970d06522542e830);Is the task 'Buch in aWrenkorb' always reachable from the initial node in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;model-specific
q046;List all messages from this model! (Model ID: 6c9090aeef814120944b4885c7343b63);What are all the messages defined in this model? (Model ID: 6c9090aeef814120944b4885c7343b63);6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;general
q047;List all participants in this model! (Model ID: 6c9090aeef814120944b4885c7343b63);Who are the participants in this model? (Model ID: 6c9090aeef814120944b4885c7343b63);6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;general
q048;Is there an exclusive gateway in this model? (Model ID: 6c9090aeef814120944b4885c7343b63);Does this model include any exclusive gateways? (Model ID: 6c9090aeef814120944b4885c7343b63);6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;general
q049;Which model contains a task called 'Take order from the restaurant & deliver it'?;In which model can we find a task named 'Take order from the rsetaurant & deliver it'?;6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;model-specific
q050;In this model, can we always execute the task 'Complaint rejected'? (Model ID: 6c9090aeef814120944b4885c7343b63);Is the task 'Complaintr ejected' always executable in this model? (Model ID: 6c9090aeef814120944b4885c7343b63);6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;model-specific
q051;How many messages are in this model? (Model ID: 4ac969819d6749d495c4f3be5f4745de);What is the total number of messages in this model? (Model ID: 4ac969819d6749d495c4f3be5f4745de);4ac969819d6749d495c4f3be5f4745de;Choreography;300f0cf9d1cd4c05bc40b8342e8bff5f;general
q052;In this model, which tasks have relations to multiple messages? (Model ID: 4ac969819d6749d495c4f3be5f4745de);Which tasks in this model are associated with more than one message? (Model ID: 4ac969819d6749d495c4f3be5f4745de);4ac969819d6749d495c4f3be5f4745de;Choreography;300f0cf9d1cd4c05bc40b8342e8bff5f;general
q053;Are all the tasks executable in the operation of the process in this model? (Model ID: 4ac969819d6749d495c4f3be5f4745de);Can every task in this model be executed during process operation? (Model ID: 4ac969819d6749d495c4f3be5f4745de);4ac969819d6749d495c4f3be5f4745de;Choreography;300f0cf9d1cd4c05bc40b8342e8bff5f;general
q054;Which model has a task named 'Reject application'?;Which model includes a task called 'Reject aplpication'?;4ac969819d6749d495c4f3be5f4745de;Choreography;300f0cf9d1cd4c05bc40b8342e8bff5f;model-specific
q055;In this model, is the 'Application received' node always reachable from 'Receive documents' node? (Model ID: 4ac969819d6749d495c4f3be5f4745de);Can we always reach 'Applicatio nreceived' from 'Receive documents' in this model? (Model ID: 4ac969819d6749d495c4f3be5f4745de);4ac969819d6749d495c4f3be5f4745de;Choreography;300f0cf9d1cd4c05bc40b8342e8bff5f;model-specific
q056;Do you have any suggestions to improve this model? (Model ID: 3d0f07f9b84c4e31bbca562f472c8885);What improvements would you recommend for this model? (Model ID: 3d0f07f9b84c4e31bbca562f472c8885);3d0f07f9b84c4e31bbca562f472c8885;Neues Produkt V1.0;10fc460992aa4167afc9beda87f3bc8e;general
q057;In this model, how many ways are there for the choreography to execute? (Model ID: 3d0f07f9b84c4e31bbca562f472c8885);How many distinct execution paths does the choreography in this model have? (Model ID: 3d0f07f9b84c4e31bbca562f472c8885);3d0f07f9b84c4e31bbca562f472c8885;Neues Produkt V1.0;10fc460992aa4167afc9beda87f3bc8e;general
q058;In this model, which tasks have 2 related messages? (Model ID: 3d0f07f9b84c4e31bbca562f472c8885);Which tasks in this model have exactly two associated messages? (Model ID: 3d0f07f9b84c4e31bbca562f472c8885);3d0f07f9b84c4e31bbca562f472c8885;Neues Produkt V1.0;10fc460992aa4167afc9beda87f3bc8e;general
q059;Which model has a message called 'für unbekannte Daten  passende, analoge  Materialien finden'?;In which model is there a message named 'für unbekannte Daten  passend,e analoge  Materialien finden'?;3d0f07f9b84c4e31bbca562f472c8885;Neues Produkt V1.0;10fc460992aa4167afc9beda87f3bc8e;model-specific
q060;In this model which task comes between 'Musterrohstoff oder bereits existentes Material  mit ähnlichen Informationen erfragen' and 'Produktstart, Eigenschaften, Spezifikationen, Zeichnung erfragen'? (Model ID: 3d0f07f9b84c4e31bbca562f472c8885);What task is located between 'Musterrohstoff oder bereits existentes Matreial  mit ähnlichen Informationen erfragen' and 'Produktstart, Eigenschaften, Spezifikationen, Zeichnung erfragen' in this model? (Model ID: 3d0f07f9b84c4e31bbca562f472c8885);3d0f07f9b84c4e31bbca562f472c8885;Neues Produkt V1.0;10fc460992aa4167afc9beda87f3bc8e;model-specific
q061;How many start events does this model have? (Model ID: 0cad2ceffcad428aab5664a733b078e6);What is the number of start events in this model? (Model ID: 0cad2ceffcad428aab5664a733b078e6);0cad2ceffcad428aab5664a733b078e6;izdavanje kartice student, DOMACI;5e1278d2bfce434b95e80ab3625cdc63;general
q062;Does this model contain any event-based gateways? (Model ID: 0cad2ceffcad428aab5664a733b078e6);Are there any event-based gateways in this model? (Model ID: 0cad2ceffcad428aab5664a733b078e6);0cad2ceffcad428aab5664a733b078e6;izdavanje kartice student, DOMACI;5e1278d2bfce434b95e80ab3625cdc63;general
q063;How many participants are in this model? (Model ID: 0cad2ceffcad428aab5664a733b078e6);What is the total number of participants in this model? (Model ID: 0cad2ceffcad428aab5664a733b078e6);0cad2ceffcad428aab5664a733b078e6;izdavanje kartice student, DOMACI;5e1278d2bfce434b95e80ab3625cdc63;general
q064;Which model contains a task called 'preuzimanje gotove kartice'?;In which model can we find a task named 'preuzimanje gtoove kartice'?;0cad2ceffcad428aab5664a733b078e6;izdavanje kartice student, DOMACI;5e1278d2bfce434b95e80ab3625cdc63;model-specific
q065;In this model, which tasks have 'obavestavanje studenta' as a participant? (Model ID: 0cad2ceffcad428aab5664a733b078e6);Which tasks in this model have 'obavestavanej studenta' as a participant? (Model ID: 0cad2ceffcad428aab5664a733b078e6);0cad2ceffcad428aab5664a733b078e6;izdavanje kartice student, DOMACI;5e1278d2bfce434b95e80ab3625cdc63;model-specific
q066;List all tasks of this model! (Model ID: 1c273a0818b146269ac04f6b8d518698);What are all the tasks defined in this model? (Model ID: 1c273a0818b146269ac04f6b8d518698);1c273a0818b146269ac04f6b8d518698;Choreography diagram (fixed);1b1634c9bdef469e9f6b7ed5130d549c;general
q067;How many tasks are included in this model? (Model ID: 1c273a0818b146269ac04f6b8d518698);What is the total number of tasks present in this model? (Model ID: 1c273a0818b146269ac04f6b8d518698);1c273a0818b146269ac04f6b8d518698;Choreography diagram (fixed);1b1634c9bdef469e9f6b7ed5130d549c;general
q068;Is there any task that is not reachable from the initial node in this model? (Model ID: 1c273a0818b146269ac04f6b8d518698);Are there any tasks unreachable from the start node in this model? (Model ID: 1c273a0818b146269ac04f6b8d518698);1c273a0818b146269ac04f6b8d518698;Choreography diagram (fixed);1b1634c9bdef469e9f6b7ed5130d549c;general
q069;Which model has a task named 'Response'?;Which model includes a task called 'Respnose'?;1c273a0818b146269ac04f6b8d518698;Choreography diagram (fixed);1b1634c9bdef469e9f6b7ed5130d549c;model-specific
q070;What messages are related to the 'Payment ok/not ok' node in this model? (Model ID: 1c273a0818b146269ac04f6b8d518698);Which messages are associated with the 'Payment ko/not ok' node in this model? (Model ID: 1c273a0818b146269ac04f6b8d518698);1c273a0818b146269ac04f6b8d518698;Choreography diagram (fixed);1b1634c9bdef469e9f6b7ed5130d549c;model-specific
q071;Is there any parallelism in this model? (Model ID: 0b21c69687b64d8886fb7cc5dc56ff6c);Does this model contain any parallel gateways? (Model ID: 0b21c69687b64d8886fb7cc5dc56ff6c);0b21c69687b64d8886fb7cc5dc56ff6c;UrlaubsantragChoreographiediagrammV2;1c60ebf8af6d40f6ab4863394fa7d030;general
q072;Is there any cyclic behaviour in this model? (Model ID: 0b21c69687b64d8886fb7cc5dc56ff6c);Does this model exhibit any cyclic behavior? (Model ID: 0b21c69687b64d8886fb7cc5dc56ff6c);0b21c69687b64d8886fb7cc5dc56ff6c;UrlaubsantragChoreographiediagrammV2;1c60ebf8af6d40f6ab4863394fa7d030;general
q073;In this model, will the choreography always reach an end node? (Model ID: 0b21c69687b64d8886fb7cc5dc56ff6c);Will every execution path in this model eventually terminate at an end event? (Model ID: 0b21c69687b64d8886fb7cc5dc56ff6c);0b21c69687b64d8886fb7cc5dc56ff6c;UrlaubsantragChoreographiediagrammV2;1c60ebf8af6d40f6ab4863394fa7d030;general
q074;Which model has a message called 'genehmigten und unterzeichneten Antrag zurücksenden'?;In which model is there a message named 'genehmigten und unterzeicnheten Antrag zurücksenden'?;0b21c69687b64d8886fb7cc5dc56ff6c;UrlaubsantragChoreographiediagrammV2;1c60ebf8af6d40f6ab4863394fa7d030;model-specific
q075;In this model, can the 'genehmigten uund unterzeichneten Urlaubsantrag weiterleiten' task happen before the 'ausgefüllter und unterschriebener Antrag' task? (Model ID: 0b21c69687b64d8886fb7cc5dc56ff6c);Is it possible for 'genehmigten uund unterzeichneetn Urlaubsantrag weiterleiten' to be executed before 'ausgefüllter und unterschriebener Antrag' in this model? (Model ID: 0b21c69687b64d8886fb7cc5dc56ff6c);0b21c69687b64d8886fb7cc5dc56ff6c;UrlaubsantragChoreographiediagrammV2;1c60ebf8af6d40f6ab4863394fa7d030;model-specific
q076;How many end events are in this model? (Model ID: 4fba0078103d44d9846d4fbec51710cb);What is the number of end events in this model? (Model ID: 4fba0078103d44d9846d4fbec51710cb);4fba0078103d44d9846d4fbec51710cb;Wypożyczalnia samochodów choerogafia;e96f2c9cd4024b4e91e86f4fef997863;general
q077;How many sequence flows are in this model? (Model ID: 4fba0078103d44d9846d4fbec51710cb);What is the total count of sequence flows in this model? (Model ID: 4fba0078103d44d9846d4fbec51710cb);4fba0078103d44d9846d4fbec51710cb;Wypożyczalnia samochodów choerogafia;e96f2c9cd4024b4e91e86f4fef997863;general
q078;List all messages from this model! (Model ID: 4fba0078103d44d9846d4fbec51710cb);What are all the messages defined in this model? (Model ID: 4fba0078103d44d9846d4fbec51710cb);4fba0078103d44d9846d4fbec51710cb;Wypożyczalnia samochodów choerogafia;e96f2c9cd4024b4e91e86f4fef997863;general
q079;Which model contains a task called 'Przygotowanie umowy'?;In which model can we find a task named 'Przygotownaie umowy'?;4fba0078103d44d9846d4fbec51710cb;Wypożyczalnia samochodów choerogafia;e96f2c9cd4024b4e91e86f4fef997863;model-specific
q080;In this model, how many tasks are between 'Wybiera samochód oraz czas najmu' and 'Przygotowuje nową umowe lub zostaje przy poprzedniej'? (Model ID: 4fba0078103d44d9846d4fbec51710cb);How many tasks lie between 'Wybiera samochódo raz czas najmu' and 'Przygotowuje nową umowe lub zostaje przy poprzedniej' in this model? (Model ID: 4fba0078103d44d9846d4fbec51710cb);4fba0078103d44d9846d4fbec51710cb;Wypożyczalnia samochodów choerogafia;e96f2c9cd4024b4e91e86f4fef997863;model-specific
q081;List all participants in this model! (Model ID: 2b18c5f00a5a46159c6cb6a3e2bc79e9);Who are the participants in this model? (Model ID: 2b18c5f00a5a46159c6cb6a3e2bc79e9);2b18c5f00a5a46159c6cb6a3e2bc79e9;Werbeagentur Choreographiediagramm;1c0ca074f62d457cad311a2ab2a3d6b5;general
q082;Is there an exclusive gateway in this model? (Model ID: 2b18c5f00a5a46159c6cb6a3e2bc79e9);Does this model include any exclusive gateways? (Model ID: 2b18c5f00a5a46159c6cb6a3e2bc79e9);2b18c5f00a5a46159c6cb6a3e2bc79e9;Werbeagentur Choreographiediagramm;1c0ca074f62d457cad311a2ab2a3d6b5;general
q083;How many messages are in this model? (Model ID: 2b18c5f00a5a46159c6cb6a3e2bc79e9);What is the total number of messages in this model? (Model ID: 2b18c5f00a5a46159c6cb6a3e2bc79e9);2b18c5f00a5a46159c6cb6a3e2bc79e9;Werbeagentur Choreographiediagramm;1c0ca074f62d457cad311a2ab2a3d6b5;general
q084;Which model has a task named 'Absage'?;Which model includes a task called 'Absgae'?;2b18c5f00a5a46159c6cb6a3e2bc79e9;Werbeagentur Choreographiediagramm;1c0ca074f62d457cad311a2ab2a3d6b5;model-specific
q085;In this model, is the 'Auftrag' task always reachable from the start node? (Model ID: 2b18c5f00a5a46159c6cb6a3e2bc79e9);Is the task 'Aufrtag' always reachable from the initial node in this model? (Model ID: 2b18c5f00a5a46159c6cb6a3e2bc79e9);2b18c5f00a5a46159c6cb6a3e2bc79e9;Werbeagentur Choreographiediagramm;1c0ca074f62d457cad311a2ab2a3d6b5;model-specific
q086;In this model, which tasks have relations to multiple messages? (Model ID: 262d9e9b8c224d918fe800cd2a454ddf);Which tasks in this model are associated with more than one message? (Model ID: 262d9e9b8c224d918fe800cd2a454ddf);262d9e9b8c224d918fe800cd2a454ddf;Auktionshaus_Online;985f88f59e8b4962a0a2c2fec001b6d1;general
q087;Are all the tasks executable in the operation of the process in this model? (Model ID: 262d9e9b8c224d918fe800cd2a454ddf);Can every task in this model be executed during process operation? (Model ID: 262d9e9b8c224d918fe800cd2a454ddf);262d9e9b8c224d918fe800cd2a454ddf;Auktionshaus_Online;985f88f59e8b4962a0a2c2fec001b6d1;general
q088;Do you have any suggestions to improve this model? (Model ID: 262d9e9b8c224d918fe800cd2a454ddf);What improvements would you recommend for this model? (Model ID: 262d9e9b8c224d918fe800cd2a454ddf);262d9e9b8c224d918fe800cd2a454ddf;Auktionshaus_Online;985f88f59e8b4962a0a2c2fec001b6d1;general
q089;Which model has a message called 'Auktionshaus'?;In which model is there a message named 'Auktiosnhaus'?;262d9e9b8c224d918fe800cd2a454ddf;Auktionshaus_Online;985f88f59e8b4962a0a2c2fec001b6d1;model-specific
