question id;question;question_variant;category;use_case
q030;From which external documents are the TMT requirements imported?;From which external documnets are the TMT requirments imported?;Junior;Requirements Traceability
q031;What are the top-level work packages in the TMT Project?;What are the top-level work packges in the TMT Projet?;Junior;Model Navigation
q032;Where is the APS model located in the package hierarchy?;Where is the APS model located in the packge hierarchy?;Junior;Model Navigation
q033;What are the main components of the APS Conceptual Design?;What are the main componets of the APS Conceptaul Design?;Junior;Knowledge Transfer
q034;What stakeholders are defined for the APS Mission?;What stakholders are defined for the APS Mision?;Junior;Knowledge Transfer
q035;Are there any deprecated packages in the APS model?;Are there any deprected packages in the APS model?;Junior;Error Detection
q036;What modeling support patterns are used in the model?;What modeling suport patterns are used in the model?;Junior;Error Detection
q037;What timing requirements are formalized for the APS?;What timming requirements are formalized for the APS?;Medior;Requirements Traceability
q038;Which requirement flow-down views are defined for the APS Black Box Specification?;Which requirment flow-down views are defined for the APS Black Box Specificaton?;Medior;Requirements Traceability
q039;What sub-packages are contained under the APS Conceptual Design?;What sub-packages are contaned under the APS Conceptaul Design?;Medior;Model Navigation
q040;What views are defined under the TMT-APS-SE view package?;What views are defined under the TMT-APS-SE veiw package?;Medior;Model Navigation
q041;What is the role of the Procedure Executive and Analysis Software in the APS?;What is the role of the Procedre Executive and Analaysis Software in the APS?;Medior;Knowledge Transfer
q042;What external systems interface with the APS at the telescope level?;What external systmes interface with the APS at the telescpe level?;Medior;Knowledge Transfer
q043;Are there packages labeled as obsolete or to be removed in the requirements hierarchy?;Are there packages labled as obsolete or to be removed in the requirments hierarchy?;Medior;Error Detection
q044;What is the difference between the APS Black Box Specification at the JPL level and at the TMT level?;What is the diference between the APS Black Box Specificaton at the JPL level and at the TMT level?;Medior;Error Detection
q045;Which parent requirements trace down to the APS Interface Requirements?;Which parent requirments trace down to the APS Interfce Requirements?;Senior;Requirements Traceability
q046;What is the relationship between the L2 APS Requirements Document and the APS Requirements Flowdown in the information flow?;What is the relationship between the L2 APS Requirments Document and the APS Requirements Flowdown in the informaton flow?;Senior;Requirements Traceability
q047;Where are the configuration tables for the Wavefront Calibration Lookup Table located in the model?;Where are the configuraton tables for the Wavfront Calibration Lookup Table located in the model?;Senior;Model Navigation
q048;What is the path from the TMT Project root to the Pupil Alignment Error Budget analysis?;What is the path from the TMT Projet root to the Pupil Alignmnet Error Budget analysis?;Senior;Model Navigation
q049;What error budget elements contribute to the Pupil Alignment Error Budget?;What error buget elements contribute to the Pupil Alignmnet Error Budget?;Senior;Knowledge Transfer
q050;How is the Maintenance Alignment duration trade study structured in the model?;How is the Maintenace Alignment duraton trade study structured in the model?;Senior;Knowledge Transfer
q051;Are the Peak Power Limit Requirement blocks consistent between the JPL and TMT specification levels?;Are the Peak Power Limit Requirment blocks consistant between the JPL and TMT specificaton levels?;Senior;Error Detection
q052;Which duration analysis scenarios lack a corresponding formalized timing requirement?;Which duraton analysis senarios lack a corresponding formalized timming requirement?;Senior;Error Detection
